date,city,time,temperature_c,feels_like_c,humidity_pct,wind_speed_ms,wind_direction,gust_speed_ms,visibility_km,pressure_hpa,precipitation_mm,uv_index,aqi,condition
2025-05-05,西安,08:00,0.7,-9.2,NAN,16.2,nan,NaN,6.0,980.9,37.7,4,86,雾
2025-11-07,青岛,06:00,nan,NaN,59,23.6,西北风,25.3,17.3,994.7,,None,160,小雨
2025-10-17,上海,09:00,0.5,11.3,27,None,西风,7.6,17.9,NAN,null,8,50,雾
2025-04-12,厦门,18:00,10.7,None,NaN,12.0,西风,NaN,10.6,1006.5,26.6,1,225,小雨
2025-05-08,大连,05:00,-3.3,6.8,65,14.6,None,17.7,16.2,980.6,,3,250,雷阵雨
2025-03-22,北京,02:00,29.5,14.2,60,null,北风,NA,NA,996.2,29.0,null,59,阴
2025-09-01,长沙,16:00,-4.7,19.2,99,1.5,None,11.7,3.2,995.4,40.4,9,NaN,晴
2025-04-27,杭州,10:00,-9.5,-7.4,63,19.6,西风,34.1,nan,1022.6,,8,33,中雨
2025-03-17,南京,21:00,,20.0,33,2.5,None,33.1,2.5,995.5,3.6,9,110,雾
2025-09-06,深圳,19:00,-9.3,-11.2,85,5.4,西风,8.7,7.1,nan,2.4,3,61,NAN
2025-10-20,武汉,05:00,0.9,,20,23.9,None,null,11.8,994.0,NA,NA,39,雷阵雨
2025-10-04,广州,19:00,24.3,10.2,36,5.1,西北风,11.9,18.9,1011.2,34.9,NA,229,中雨
2025-05-31,重庆,11:00,,2.0,74,4.8,东北风,16.8,12.1,981.6,27.2,,176,小雨
2025-05-04,厦门,18:00,,11.3,46,nan,东南风,null,15.3,1002.0,3.2,10,111,雷阵雨
2025-09-30,大连,20:00,-5.5,13.5,33,3.5,西风,NaN,8.0,1025.5,9.4,1,94,中雨
2025-08-16,深圳,00:00,18.6,,26,20.7,NA,7.5,8.9,NaN,,0,31,多云
2025-04-26,郑州,23:00,3.3,14.4,27,16.7,北风,24.3,NaN,996.2,3.8,12,NA,大雨
2025-01-14,南京,18:00,23.4,-11.7,90,21.1,北风,7.8,3.9,986.1,None,10,158,雾
2025-03-07,昆明,09:00,nan,NaN,70,2.9,西风,NaN,None,1024.7,30.0,7,null,雾
2025-04-17,上海,03:00,NAN,-14.6,46,4.7,东风,38.0,4.2,1018.5,20.8,null,83,中雨
2025-05-11,南京,21:00,2.6,-13.8,50,null,东南风,NA,11.0,1035.5,10.3,null,102,晴
2025-08-17,昆明,07:00,11.1,0.7,NA,NA,西南风,30.8,,989.2,nan,10,231,小雪
2025-04-08,重庆,02:00,null,10.3,93,14.7,NA,16.6,6.4,NaN,NAN,NAN,205,雷阵雨
2025-04-12,长沙,02:00,5.1,37.1,41,8.7,NA,30.4,17.2,986.6,null,4,152,中雨
2025-08-18,重庆,06:00,None,24.8,26,,None,24.4,13.0,983.2,15.8,2,126,阴
2025-10-30,哈尔滨,18:00,null,null,87,2.1,北风,,7.2,1008.8,41.2,12,136,小雨
2025-04-07,北京,09:00,15.0,39.8,81,21.4,北风,26.4,7.3,1025.5,20.8,,278,多云
2025-04-02,青岛,21:00,15.8,22.3,,16.3,NA,None,8.2,997.3,14.3,6,294,中雨
2025-04-25,三亚,23:00,10.7,7.9,21,11.7,东南风,NaN,17.7,1035.6,35.6,3,289,小雪
2025-03-21,深圳,05:00,16.7,19.4,71,18.6,nan,nan,15.2,995.2,1.1,3,225,霾
2025-06-27,哈尔滨,18:00,32.6,-7.9,71,3.3,NAN,nan,10.2,1034.1,NaN,6,108,多云
2025-03-17,西安,16:00,36.1,34.5,94,10.9,NaN,30.6,2.7,994.0,47.7,11,164,雾
NAN,南京,03:00,NA,null,33,11.5,南风,,15.9,1011.3,13.2,11,41,中雨
2025-03-21,杭州,18:00,-1.4,17.3,31,12.2,东北风,nan,11.2,1038.6,20.7,3,29,晴
2025-01-12,哈尔滨,06:00,9.7,,nan,20.9,南风,31.4,7.0,1020.5,,8,223,多云
2025-11-17,苏州,19:00,-3.5,16.0,29,5.6,东北风,14.5,9.8,null,4.5,12,208,雾
2025-07-03,三亚,06:00,11.6,36.7,29,3.5,北风,NaN,10.2,1019.9,,11,null,小雨
2025-06-30,重庆,22:00,-1.7,-5.9,37,13.9,北风,29.3,17.6,982.4,,NaN,155,雷阵雨
2025-02-18,天津,18:00,16.8,NAN,NaN,16.4,None,2.8,18.1,NaN,45.4,null,118,小雪
2025-09-01,上海,21:00,-8.0,-5.1,93,1.7,东风,,NaN,1021.6,22.0,NA,96,小雪
2025-10-23,广州,09:00,None,21.2,76,3.7,,null,13.4,995.8,42.2,12,96,多云
2025-09-06,广州,10:00,11.2,-2.8,79,5.6,东风,18.6,None,996.1,49.2,2,209,晴
2025-10-02,郑州,22:00,6.0,14.3,NA,7.8,北风,31.5,9.2,1023.6,NaN,0,284,霾
2025-10-19,上海,00:00,31.3,-14.6,89,10.9,西南风,39.8,18.9,NaN,null,1,180,阴
2025-09-14,苏州,08:00,-0.3,0.1,81,19.9,西南风,25.1,15.9,980.2,9.9,0,NA,小雪
2025-04-30,大连,09:00,-8.0,-8.0,40,8.8,西风,13.1,7.5,1039.3,NaN,7,207,阴
2025-02-03,大连,08:00,NaN,19.0,75,18.4,NAN,None,NaN,1004.5,21.7,NaN,259,晴
2025-07-28,三亚,16:00,-4.6,21.7,88,16.6,北风,36.5,11.6,992.1,21.9,3,184,多云
2025-09-29,深圳,20:00,37.5,null,68,23.7,东北风,14.9,11.2,996.9,20.4,9,269,雾
2025-03-01,郑州,19:00,19.0,41.5,22,None,西南风,3.7,9.1,1013.2,24.8,8,,多云
2025-01-02,大连,18:00,-2.8,-8.1,37,7.4,NAN,27.6,10.1,nan,33.6,7,,雾
2025-02-24,重庆,04:00,null,-14.0,24,19.7,北风,NAN,4.2,999.1,3.7,8,103,霾
2025-09-05,深圳,17:00,15.2,18.5,94,9.6,西南风,33.4,NA,1014.7,NA,,NAN,晴
2025-07-30,哈尔滨,00:00,7.1,8.5,76,9.2,东风,,1.2,1007.1,35.3,NA,139,霾
2025-07-06,哈尔滨,23:00,0.3,8.4,80,23.9,NaN,NA,9.6,983.2,39.3,NA,288,晴
None,南京,13:00,8.3,9.5,52,9.9,北风,35.4,13.9,null,16.4,NaN,124,霾
2025-03-17,重庆,23:00,None,10.9,95,NA,null,11.4,6.6,994.4,23.8,nan,44,小雨
2025-10-28,天津,17:00,18.8,3.7,NaN,11.8,南风,nan,13.4,1004.2,null,9,96,阴
2025-10-07,苏州,03:00,-2.8,-9.0,73,18.8,北风,NA,19.4,1009.6,NaN,0,149,小雪
2025-09-24,大连,20:00,28.7,32.1,49,3.7,,NA,19.9,990.6,26.0,5,123,
2025-04-07,大连,01:00,5.2,25.9,59,23.2,None,11.7,7.7,993.8,15.5,5,204,小雨
2025-10-27,重庆,08:00,-6.0,9.4,65,5.4,东风,NaN,NaN,NaN,,4,NaN,阴
2025-09-26,长沙,21:00,NAN,10.7,86,10.2,东南风,37.1,2.8,1021.3,13.1,7,110,雷阵雨
NAN,南京,05:00,25.6,28.4,89,23.7,东北风,nan,13.0,1019.6,13.0,12,190,阴
