编号,物种,岛屿,性别,喙长_mm,喙深_mm,鳍肢长_mm,体重_g,窝卵数,巢穴类型,年龄_岁
PG0072,Adelie,Torgersen,MALE,39.9,17.5,196,NaN,2,岩石,11.2
PG0073,Adelie,Torgersen,FEMALE,40.0,18.0,198,NaN,2,NaN,13.4
PG0074,Adelie,Biscoe,MALE,33.5,19.7,191,3483,2,卵石,11.2
PG0075,Adelie,Dream,MALE,36.5,17.5,187,NaN,1,岩石,4.2
PG0076,Chinstrap,Dream,FEMALE,48.0,18.6,178,3965,2,卵石,4.5
PG0077,Gentoo,Biscoe,FEMALE,54.2,16.3,207,4502,2,沙地,11.4
PG0078,Gentoo,Biscoe,FEMALE,45.5,14.8,217,4229,1,卵石,2.1
PG0079,Adelie,Dream,NaN,40.4,17.5,197,4010,NaN,沙地,13.4
PG0080,Adelie,Torgersen,FEMALE,39.8,20.0,197,2882,3,草地,3.3
PG0081,Chinstrap,Dream,FEMALE,51.3,17.0,202,4205,2,卵石,13.4
PG0082,Adelie,Dream,FEMALE,38.0,18.4,186,3217,2,沙地,7.3
PG0083,Chinstrap,Dream,FEMALE,44.4,17.8,194,3843,NaN,岩石,9.5
PG0084,Chinstrap,Dream,MALE,52.1,18.9,189,3236,2,草地,7.9
PG0085,Adelie,Dream,MALE,43.0,18.0,189,3045,3,卵石,7.1
PG0086,Gentoo,Biscoe,MALE,48.9,16.5,224,4885,2,沙地,NaN
PG0087,Chinstrap,Dream,FEMALE,51.9,17.4,199,2703,2,草地,5.1
PG0088,Gentoo,Biscoe,FEMALE,43.8,13.9,223,4210,2,岩石,6.2
PG0089,Adelie,Biscoe,MALE,41.1,18.8,185,3969,3,草地,2.2
PG0090,Adelie,Torgersen,FEMALE,NaN,18.5,191,3942,2,沙地,14.5
PG0091,Adelie,Biscoe,MALE,38.7,19.0,193,4221,2,卵石,NaN
PG0092,Adelie,Biscoe,FEMALE,30.6,18.9,195,3458,2,卵石,11.5
PG0093,Adelie,Dream,MALE,38.3,19.2,196,3338,2,草地,10.1
PG0094,Gentoo,Biscoe,FEMALE,45.4,15.0,226,5014,2,沙地,13.6
PG0095,Adelie,Dream,MALE,41.2,NaN,196,3373,2,沙地,2.4
PG0096,Adelie,Torgersen,MALE,34.5,18.9,180,4063,2,岩石,13.5
PG0097,Adelie,Torgersen,MALE,36.8,18.3,187,2783,2,卵石,13.2
PG0098,Adelie,Dream,MALE,37.1,18.8,193,3292,2,卵石,13.4
PG0099,Chinstrap,Dream,FEMALE,49.2,18.7,198,3499,1,岩石,12.7
PG0100,Adelie,Torgersen,FEMALE,43.7,19.9,197,4011,2,卵石,5.3
PG0101,Adelie,Biscoe,MALE,39.2,20.6,188,3109,2,岩石,5.0
PG0102,Adelie,Dream,FEMALE,37.3,15.9,197,3673,3,草地,7.5
PG0103,Chinstrap,Dream,MALE,51.1,18.3,204,3587,1,沙地,10.0
PG0104,Chinstrap,Dream,MALE,NaN,18.4,190,3263,3,岩石,12.5
PG0105,Gentoo,Biscoe,FEMALE,49.3,16.5,221,4630,2,草地,8.7
PG0106,Chinstrap,Dream,MALE,49.3,NaN,182,4099,2,岩石,3.8
PG0107,Gentoo,Biscoe,MALE,47.6,15.4,223,4976,2,卵石,12.0
PG0108,Adelie,Torgersen,MALE,40.2,18.5,193,3661,2,草地,3.7
PG0109,Gentoo,Biscoe,MALE,49.1,14.8,219,4479,2,沙地,13.1
PG0110,Adelie,Torgersen,FEMALE,40.0,17.6,NaN,3641,2,卵石,3.8
PG0111,Gentoo,Biscoe,MALE,53.8,14.9,216,4553,2,草地,6.0
PG0112,Adelie,Dream,FEMALE,39.0,18.6,185,3659,2,岩石,13.7
PG0113,Gentoo,Biscoe,FEMALE,46.9,15.9,219,5145,2,卵石,8.4
PG0114,Chinstrap,Dream,MALE,46.5,16.0,197,4174,2,岩石,3.7
PG0115,Gentoo,Biscoe,MALE,47.8,15.5,208,6137,2,岩石,13.4
PG0116,Adelie,Dream,MALE,36.6,20.4,183,3467,2,岩石,8.3
PG0117,Adelie,Dream,MALE,NaN,17.4,200,3486,2,岩石,8.7
PG0118,Gentoo,Biscoe,MALE,49.6,16.1,221,5430,1,岩石,6.5
PG0119,Gentoo,Biscoe,MALE,49.4,15.5,NaN,4523,2,岩石,4.7
PG0120,Chinstrap,Dream,MALE,46.9,18.3,179,NaN,1,草地,13.1
PG0121,Gentoo,Biscoe,MALE,50.3,14.8,222,5079,2,岩石,4.2
PG0122,Gentoo,Biscoe,MALE,NaN,15.3,213,5306,2,草地,NaN
PG0123,Chinstrap,Dream,MALE,52.3,17.7,198,3372,2,岩石,9.2
PG0124,Gentoo,Biscoe,FEMALE,43.1,15.8,212,4241,2,岩石,10.9
PG0125,Adelie,Dream,FEMALE,40.0,17.6,198,3553,2,卵石,12.5
PG0126,Adelie,Torgersen,MALE,40.5,17.5,204,4335,3,岩石,5.9
PG0127,Gentoo,Biscoe,MALE,47.2,15.7,216,5576,2,沙地,6.0
PG0128,Adelie,Biscoe,MALE,40.4,18.2,190,3931,2,岩石,NaN
PG0129,Adelie,Dream,FEMALE,34.9,16.0,199,4392,2,草地,11.0
PG0130,Adelie,Biscoe,FEMALE,41.8,17.1,185,4370,2,沙地,4.7
PG0131,Gentoo,Biscoe,MALE,NaN,16.3,199,4812,2,岩石,7.1
PG0132,Adelie,Torgersen,MALE,37.2,NaN,198,3780,2,卵石,NaN
PG0133,Gentoo,Biscoe,MALE,50.7,15.9,209,5191,2,卵石,7.0
PG0134,Chinstrap,Dream,MALE,46.5,19.0,191,3654,2,岩石,12.7
PG0135,Gentoo,Biscoe,FEMALE,48.3,15.8,220,NaN,2,卵石,10.6
PG0136,Adelie,Torgersen,MALE,42.5,18.6,190,3973,2,草地,12.1
PG0137,Chinstrap,Dream,MALE,50.9,20.8,190,3072,2,岩石,6.8
PG0138,Gentoo,Biscoe,FEMALE,43.7,12.1,203,4743,2,草地,11.4
PG0139,Chinstrap,Dream,FEMALE,52.3,18.7,195,3678,2,岩石,2.3
PG0140,Gentoo,Biscoe,MALE,49.7,NaN,215,5843,2,岩石,4.4
PG0141,Gentoo,Biscoe,MALE,NaN,15.3,229,5019,2,沙地,14.8
PG0142,Adelie,Dream,FEMALE,41.6,18.5,184,3321,2,卵石,12.5
PG0143,Gentoo,Biscoe,MALE,45.5,16.2,208,5318,2,草地,11.7
PG0144,Adelie,Biscoe,MALE,41.9,19.6,187,3419,2,草地,7.1
PG0145,Chinstrap,Dream,FEMALE,52.1,NaN,206,3945,2,沙地,4.2
PG0146,Adelie,Dream,FEMALE,41.4,20.6,182,3601,2,草地,12.0
PG0147,Adelie,Dream,FEMALE,39.4,16.2,188,3906,1,草地,3.9
PG0148,Chinstrap,Dream,MALE,47.4,16.8,193,3618,1,岩石,10.2
PG0149,Gentoo,Biscoe,MALE,49.1,16.4,220,4907,2,草地,10.3
PG0150,Gentoo,Biscoe,FEMALE,NaN,14.6,NaN,4723,2,岩石,11.9
PG0151,Chinstrap,Dream,FEMALE,47.7,18.1,190,3774,2,卵石,2.8
PG0152,Adelie,Torgersen,FEMALE,38.5,18.4,196,2541,2,NaN,11.7
PG0153,Gentoo,Biscoe,MALE,46.4,NaN,224,5830,1,岩石,7.6
PG0154,Adelie,Biscoe,MALE,39.9,18.4,185,3870,2,卵石,NaN
PG0155,Gentoo,Biscoe,FEMALE,46.5,16.9,215,5601,1,沙地,3.7
PG0156,Adelie,Dream,FEMALE,38.0,19.1,188,3704,2,卵石,9.4
PG0157,Adelie,Biscoe,MALE,40.4,17.9,188,3399,2,岩石,4.5
PG0158,Adelie,Torgersen,FEMALE,36.6,18.3,202,4411,2,草地,3.0
PG0159,Gentoo,Biscoe,FEMALE,49.5,14.2,209,4870,1,岩石,13.5
PG0160,Adelie,Biscoe,MALE,36.1,18.7,176,4166,2,沙地,6.9
PG0161,Chinstrap,Dream,MALE,48.0,18.0,201,3640,1,卵石,10.6
PG0162,Gentoo,Biscoe,MALE,NaN,15.9,221,5886,2,卵石,6.2
PG0163,Chinstrap,Dream,MALE,49.7,17.8,190,2733,2,沙地,12.6
PG0164,Gentoo,Biscoe,FEMALE,46.7,15.7,215,5304,3,卵石,6.9
PG0165,Chinstrap,Dream,MALE,43.6,19.5,204,3442,1,卵石,11.4
PG0166,Chinstrap,Dream,NaN,52.8,19.8,199,3990,2,卵石,11.6
PG0167,Gentoo,Biscoe,FEMALE,47.8,15.5,214,4952,2,沙地,2.6
PG0168,Adelie,Torgersen,MALE,38.5,18.9,188,3180,3,卵石,9.3
PG0169,Gentoo,Biscoe,FEMALE,47.3,14.4,221,NaN,1,卵石,3.9
PG0170,Gentoo,Biscoe,FEMALE,48.8,13.6,222,5756,2,岩石,3.8
PG0171,Gentoo,Biscoe,FEMALE,43.1,15.4,228,5255,2,卵石,NaN
PG0172,Chinstrap,Dream,FEMALE,53.7,17.6,201,4476,2,岩石,8.3
PG0173,Adelie,Torgersen,FEMALE,39.7,18.0,187,3455,2,沙地,3.4
PG0174,Chinstrap,Dream,FEMALE,45.7,18.7,200,3713,2,卵石,4.1
PG0175,Adelie,Biscoe,MALE,34.6,17.4,201,3253,2,沙地,7.4
PG0176,Chinstrap,Dream,FEMALE,54.5,18.2,198,3683,2,卵石,7.3
PG0177,Chinstrap,Dream,FEMALE,43.3,19.2,199,3510,2,沙地,10.7
PG0178,Adelie,Dream,MALE,37.3,19.7,198,4015,3,卵石,7.1
PG0179,Gentoo,Biscoe,MALE,46.6,14.0,214,4733,1,草地,11.3
PG0180,Adelie,Dream,FEMALE,41.3,18.7,183,3175,3,草地,3.7
PG0181,Adelie,Torgersen,FEMALE,39.7,17.0,186,3727,3,卵石,13.0
PG0182,Gentoo,Biscoe,MALE,48.4,15.2,221,5532,1,草地,10.5
PG0183,Adelie,Biscoe,MALE,41.0,18.3,193,NaN,2,岩石,7.4
PG0184,Chinstrap,Dream,MALE,43.9,17.9,206,4003,3,岩石,2.6
PG0185,Gentoo,Biscoe,MALE,NaN,15.2,220,5271,2,岩石,11.9
PG0186,Adelie,Biscoe,MALE,44.9,18.5,189,4086,2,卵石,6.2
PG0187,Gentoo,Biscoe,MALE,47.0,NaN,220,NaN,2,卵石,2.2
PG0188,Adelie,Biscoe,FEMALE,41.6,16.3,193,3635,2,卵石,10.6
PG0189,Adelie,Torgersen,FEMALE,40.0,19.3,185,3540,2,沙地,13.6
PG0190,Gentoo,Biscoe,MALE,48.7,15.0,215,4884,2,岩石,7.8
PG0191,Adelie,Biscoe,FEMALE,37.9,18.7,194,4578,2,草地,9.1
PG0192,Adelie,Biscoe,FEMALE,36.7,19.4,181,4275,1,岩石,10.9
PG0193,Adelie,Dream,FEMALE,NaN,19.6,183,NaN,2,岩石,13.9
PG0194,Adelie,Biscoe,MALE,40.9,18.3,192,3762,NaN,卵石,6.1
PG0195,Chinstrap,Dream,FEMALE,50.4,18.5,208,2809,2,草地,10.9
PG0196,Gentoo,Biscoe,FEMALE,NaN,14.6,207,6373,1,沙地,9.9
PG0197,Adelie,Biscoe,FEMALE,38.0,20.7,187,4090,2,草地,5.0
PG0198,Chinstrap,Dream,FEMALE,NaN,18.3,207,4530,2,沙地,2.3
PG0199,Gentoo,Biscoe,MALE,48.5,13.7,213,5149,2,沙地,NaN
PG0200,Adelie,Torgersen,MALE,35.1,18.5,194,3476,2,岩石,8.6
PG0201,Chinstrap,Dream,FEMALE,47.1,18.3,197,3510,1,卵石,3.5
PG0202,Gentoo,Biscoe,FEMALE,53.2,16.3,201,5508,2,卵石,7.7
PG0203,Chinstrap,Dream,FEMALE,47.1,20.2,NaN,3999,3,草地,3.2
PG0204,Chinstrap,Dream,FEMALE,51.9,17.5,196,3563,2,岩石,11.2
PG0205,Adelie,Dream,MALE,42.0,NaN,197,3279,2,岩石,9.9
PG0206,Adelie,Torgersen,MALE,39.3,17.2,192,2821,2,卵石,4.9
PG0207,Gentoo,Biscoe,FEMALE,47.7,13.3,226,4870,2,岩石,13.6
PG0208,Gentoo,Biscoe,MALE,48.5,15.7,220,5757,2,岩石,11.8
PG0209,Adelie,Torgersen,FEMALE,40.4,NaN,200,3115,1,沙地,5.6
PG0210,Gentoo,Biscoe,MALE,50.4,13.9,224,5074,3,卵石,10.1
PG0211,Gentoo,Biscoe,MALE,43.6,15.4,215,5468,2,卵石,12.7
PG0212,Adelie,Dream,MALE,39.3,18.4,195,3598,3,岩石,6.9
PG0213,Adelie,Biscoe,MALE,41.3,19.5,182,3680,2,卵石,14.6
PG0214,Adelie,Dream,FEMALE,40.6,17.5,184,4234,3,沙地,13.7
PG0215,Gentoo,Biscoe,FEMALE,47.8,NaN,222,5843,2,岩石,10.8
PG0216,Gentoo,Biscoe,FEMALE,44.5,16.1,NaN,4581,1,NaN,14.7
PG0217,Gentoo,Biscoe,MALE,45.0,15.4,217,6019,2,岩石,4.9
PG0218,Gentoo,Biscoe,FEMALE,44.8,15.0,227,5479,2,沙地,3.4
PG0219,Adelie,Torgersen,FEMALE,39.5,19.6,191,NaN,1,卵石,NaN
PG0220,Gentoo,Biscoe,MALE,47.3,14.7,216,4575,2,NaN,7.7
PG0221,Adelie,Torgersen,MALE,35.8,17.0,200,3729,1,沙地,7.7
PG0222,Gentoo,Biscoe,MALE,48.3,15.1,215,5438,2,岩石,12.2
PG0223,Adelie,Torgersen,FEMALE,38.0,17.5,191,3919,2,岩石,4.6
PG0224,Gentoo,Biscoe,MALE,49.6,15.1,218,5547,3,沙地,5.7
PG0225,Adelie,Biscoe,MALE,38.5,17.7,196,3845,2,沙地,11.7
PG0226,Gentoo,Biscoe,FEMALE,49.8,14.0,223,5907,2,沙地,2.8
PG0227,Gentoo,Biscoe,MALE,46.7,NaN,200,5037,2,岩石,2.1
PG0228,Gentoo,Biscoe,FEMALE,NaN,14.8,215,4722,3,草地,8.2
PG0229,Gentoo,Biscoe,NaN,49.3,17.3,225,4625,2,沙地,5.5
PG0230,Adelie,Torgersen,MALE,38.0,19.4,197,2909,2,沙地,11.1
PG0231,Adelie,Biscoe,MALE,37.3,18.9,186,3726,2,岩石,3.2
PG0232,Gentoo,Biscoe,MALE,49.7,16.3,218,5293,2,岩石,6.2
PG0233,Adelie,Torgersen,MALE,40.7,19.1,204,3732,1,卵石,7.3
PG0234,Chinstrap,Dream,FEMALE,49.9,20.1,201,3730,1,卵石,11.2
PG0235,Chinstrap,Dream,FEMALE,47.2,19.2,182,3600,3,草地,3.9
PG0236,Adelie,Dream,FEMALE,41.3,19.2,192,3397,2,岩石,4.2
PG0237,Chinstrap,Dream,FEMALE,NaN,19.7,190,3417,2,卵石,11.0
PG0238,Adelie,Dream,MALE,39.3,18.1,182,NaN,2,卵石,12.0
PG0239,Gentoo,Biscoe,MALE,46.3,14.7,211,4326,2,沙地,8.6
PG0240,Adelie,Biscoe,FEMALE,42.5,17.6,189,3188,2,岩石,NaN
PG0241,Gentoo,Biscoe,NaN,44.9,14.0,221,4772,3,草地,2.3
PG0242,Adelie,Torgersen,FEMALE,42.2,18.0,188,3984,2,岩石,10.9
PG0243,Gentoo,Biscoe,FEMALE,51.1,13.1,215,3930,1,草地,11.1
PG0244,Gentoo,Biscoe,FEMALE,41.5,15.7,214,5453,2,卵石,7.4
PG0245,Gentoo,Biscoe,FEMALE,41.7,13.9,217,5642,2,岩石,8.4
PG0246,Gentoo,Biscoe,FEMALE,50.3,13.4,217,5337,2,草地,7.7
PG0247,Adelie,Dream,MALE,40.3,NaN,NaN,4103,2,沙地,3.7
PG0248,Gentoo,Biscoe,FEMALE,47.0,14.0,220,6096,2,草地,3.5
PG0249,Chinstrap,Dream,FEMALE,46.6,NaN,183,3429,2,卵石,13.2
PG0250,Gentoo,Biscoe,FEMALE,48.7,14.4,220,4992,2,岩石,7.7
PG0251,Gentoo,Biscoe,FEMALE,43.9,14.8,224,5413,2,卵石,14.1
PG0252,Adelie,Dream,FEMALE,36.1,19.3,189,3335,2,卵石,8.7
PG0253,Adelie,Dream,FEMALE,39.9,17.9,193,4306,1,沙地,NaN
PG0254,Adelie,Torgersen,FEMALE,37.8,17.0,200,4144,2,卵石,3.8
PG0255,Adelie,Torgersen,FEMALE,34.2,19.1,NaN,3826,3,卵石,4.1
PG0256,Adelie,Torgersen,MALE,37.5,17.8,183,4686,2,草地,7.9
PG0257,Gentoo,Biscoe,MALE,53.5,14.9,215,5629,2,卵石,6.0
PG0258,Adelie,Torgersen,FEMALE,39.1,18.8,NaN,3549,2,卵石,6.3
PG0259,Gentoo,Biscoe,FEMALE,55.5,14.6,231,4854,2,卵石,11.0
PG0260,Gentoo,Biscoe,MALE,51.1,NaN,223,4855,2,卵石,2.4
PG0261,Adelie,Dream,MALE,38.5,17.1,NaN,4098,2,草地,9.3
PG0262,Adelie,Biscoe,FEMALE,42.0,21.0,189,4773,3,沙地,11.6
PG0263,Gentoo,Biscoe,MALE,51.5,14.5,214,4422,2,岩石,4.0
PG0264,Gentoo,Biscoe,MALE,47.0,15.6,219,5601,2,卵石,11.1
PG0265,Adelie,Dream,MALE,34.8,20.7,197,3176,1,卵石,6.9
PG0266,Adelie,Torgersen,FEMALE,38.4,20.4,195,3325,3,岩石,13.4
PG0267,Adelie,Biscoe,FEMALE,42.1,19.7,197,3526,2,沙地,5.1
PG0268,Adelie,Dream,MALE,36.4,18.9,198,3378,2,草地,11.1
PG0269,Chinstrap,Dream,FEMALE,46.2,18.5,181,3577,2,岩石,4.3
PG0270,Gentoo,Biscoe,FEMALE,46.2,14.8,218,4865,1,卵石,7.4
PG0271,Adelie,Torgersen,MALE,39.4,21.2,174,3581,2,卵石,11.7
PG0272,Adelie,Torgersen,FEMALE,37.7,19.8,196,3192,NaN,草地,2.6
PG0273,Adelie,Torgersen,FEMALE,32.4,19.3,191,3174,2,岩石,12.2
PG0274,Adelie,Biscoe,MALE,NaN,18.5,189,4145,2,岩石,7.5
PG0275,Gentoo,Biscoe,MALE,49.8,15.1,227,4338,2,NaN,9.6
PG0276,Adelie,Torgersen,MALE,34.4,19.1,199,3602,2,卵石,7.7
PG0277,Adelie,Dream,MALE,39.2,17.2,189,3871,2,岩石,4.0
PG0278,Gentoo,Biscoe,FEMALE,43.6,16.2,214,NaN,2,卵石,4.8
PG0279,Adelie,Biscoe,MALE,34.3,19.5,186,3221,2,草地,3.2
PG0280,Adelie,Dream,FEMALE,42.4,19.9,187,3534,2,草地,12.7
PG0281,Adelie,Dream,FEMALE,NaN,17.4,198,4302,3,沙地,14.6
PG0282,Adelie,Dream,FEMALE,NaN,19.2,184,3898,3,卵石,14.3
PG0283,Adelie,Dream,FEMALE,41.4,19.5,177,3527,3,岩石,13.3
PG0284,Gentoo,Biscoe,FEMALE,42.0,NaN,225,5121,NaN,沙地,10.3
PG0285,Adelie,Dream,FEMALE,NaN,17.4,175,3656,2,沙地,NaN
PG0286,Chinstrap,Dream,FEMALE,50.8,18.2,189,3714,2,沙地,2.6
PG0287,Adelie,Biscoe,FEMALE,36.1,16.7,179,3408,1,卵石,12.2
PG0288,Adelie,Biscoe,MALE,38.9,21.4,185,4241,2,卵石,12.9
PG0289,Adelie,Dream,FEMALE,31.3,18.4,197,3223,2,岩石,10.1
PG0290,Chinstrap,Dream,FEMALE,50.9,19.0,195,3037,2,卵石,8.8
PG0291,Adelie,Torgersen,MALE,41.9,17.5,184,4296,2,草地,7.4
PG0292,Chinstrap,Dream,FEMALE,51.2,18.4,205,2868,1,沙地,6.1
PG0293,Adelie,Dream,MALE,40.0,18.6,193,3323,3,卵石,13.8
PG0294,Chinstrap,Dream,FEMALE,52.8,18.2,196,4069,2,草地,10.1
PG0295,Gentoo,Biscoe,NaN,44.2,13.1,NaN,5668,1,草地,3.7
PG0296,Chinstrap,Dream,MALE,46.9,17.5,199,2758,2,卵石,14.6
PG0297,Adelie,Biscoe,FEMALE,44.6,19.6,193,3408,2,草地,14.1
PG0298,Adelie,Biscoe,MALE,38.4,18.3,NaN,3117,2,草地,7.6
PG0299,Gentoo,Biscoe,MALE,48.1,12.4,213,5361,1,沙地,10.0
PG0300,Adelie,Dream,FEMALE,42.4,18.0,185,3734,1,卵石,12.2
PG0301,Adelie,Torgersen,NaN,35.1,19.1,198,NaN,2,岩石,NaN
PG0302,Gentoo,Biscoe,MALE,45.2,15.3,222,4923,2,沙地,12.2
PG0303,Adelie,Biscoe,NaN,35.0,18.4,191,2809,1,沙地,5.5
PG0304,Gentoo,Biscoe,MALE,47.2,12.3,208,5352,2,草地,3.0
PG0305,Chinstrap,Dream,FEMALE,43.9,17.9,195,3990,2,沙地,8.4
PG0306,Gentoo,Biscoe,MALE,42.6,15.3,216,4693,2,岩石,13.0
PG0307,Chinstrap,Dream,FEMALE,52.7,17.9,198,3540,1,岩石,14.4
PG0308,Adelie,Dream,FEMALE,35.5,17.1,193,3609,2,卵石,11.3
PG0309,Gentoo,Biscoe,MALE,48.5,NaN,222,4908,2,卵石,14.9
PG0310,Gentoo,Biscoe,MALE,55.1,14.4,222,4930,3,卵石,7.5
PG0311,Chinstrap,Dream,MALE,48.6,20.3,197,3156,2,卵石,14.0
PG0312,Adelie,Torgersen,MALE,40.5,18.0,177,2808,2,卵石,2.5
PG0313,Adelie,Torgersen,MALE,39.4,NaN,196,3431,2,卵石,14.2
PG0314,Adelie,Dream,FEMALE,NaN,18.7,195,3664,2,卵石,3.4
PG0315,Gentoo,Biscoe,MALE,45.2,15.3,212,5479,2,沙地,11.6
